id tweet,author,palabra
1567148386859483137,@notepierdasesto,"2018,"
1567275829415055363,@karlatres,días...
1567125054676246528,@frenpega,en
1567331254709747713,@chamojideli,te
1567101575746707457,@elhoroscopodel1,#géminis
1567183757794312194,@ari_mer1920,https://t.co/jm59pvwsir
1567130193113776129,@aquelesanosdom1,explica
1567153309756133381,@faby_nava77,#felizmartes
1567507050908815362,@germanmaner,republicanas.
1567218270230515713,@mestrecorina,donde
1567148147398385666,@hectorito,"sonrisas,"
1567147531603218434,@belenjusti333,de
1567218592734740485,@mariposaadriqba,familia.
1567132893612281857,@mileniolaguna,y
1567536898423283713,@javiercopovi,mailla.
1567253384813580288,@mariogonzlezda3,#felizmartes
1567140074667614209,@gabaljags,sigue
1567115966361870347,@geoalgia,dejes
1567129562538024961,@ailaxy,https://t.co/rwjtsaq2pn
1567221090853814273,@oeiecuador,audiovisual
1567231945184083969,@helenico,los
1567141041865723905,@cmcy2020,#inamehinforma
1567248842457841667,@designsvandit,entorno
1567320663165214721,@gely_more,ecosistema
1567264132923101184,@yuleinys0304,cubana
1567270762595385345,@gwenapollo,aeroméxico
1567137111786270722,@ffquakeproject,quién
1567337043923193859,@antonio18451907,🥭🍌🍊🍉
1567121662553866241,@traselvalle_obc,¡#felizmartes!
1567490620674949121,@feligresatoni56,"""creo"
1567099297430224898,@luisa_tendero,como
1567140599601438720,@cadillands,"metas,"
1567144520457781250,@ailaxy,sádaba
1567412945642000385,@jojarierucho,has
1567135200341024769,@giovannis3000,público
1567506079415762944,@julieta85761145,pasa?
1567150273126096897,@meridemaria,de
1567261403173605380,@saraizerpa97,@diarioveahoy:
1567264965735731202,@teslateslatesl4,la
1567358748984856576,@jaxcast,pocos
1567362657606402048,@piedadacastro,ellas.
1567499436338868225,@todaslasvocesac,@huitzillijavier:
1567135100667666433,@psuvsucremrd,@minmujermerida:
1567233676089253888,@aleteiaes,cautivadora
1567219526944571392,@yolaap85,92
1567179653898461184,@manuela_ema1290,tardes
1567227548831981569,@ricardilianar,@ladoc_83
1567136053730877442,@traselvalle_obc,"especial,"
1567125829229989890,@ariisgabrielle,https://t.co/glt1ycoclc
1567098925714231296,@peneidaman,decir.
1567110243636715520,@tereandreu3,de
1567241293041901573,@combatcocodrilo,familia.
1567133619906281475,@jkatruka,miedo
1567163498987229184,@jjaranaz94,#positivo
1567202246223446016,@elhoroscopodel1,👀👇👇
1567267459438084103,@vivalabolsa,una
1567118635096834049,@lainventadera,mercancías
1567137373250535424,@benavidesang,eres
1567219107430285313,@andres271017,oportunidad...
1567273563844902914,@flormil03473808,#códigosí.
1567237355278372868,@glezasheily,actual
1567100421423996933,@franmar81400028,es
1567220621779640321,@paola_rafaela_r,#felizmartes
1567169719010037761,@bareailsa,"devolvió,"
1567175652805074953,@m_estiben,#felizmartes
1567194558731010052,@jos89409082,.@nicolasmaduro
1567194479953694721,@busguarico,194
1567195915202469892,@mendalerenda_1,1976.
1567263733625376774,@rhiannon774,https://t.co/cj4p66eltu
1567125829229989890,@ariisgabrielle,https://pbs.twimg.com/profile_images/723960521641340929/4ohcusl3_normal.jpg
1567170205813559299,@dr_raudel,actual
1567121578621534212,@traselvalle_obc,#mccelebrity
1567458409502359553,@sandroenriquez,https://t.co/shh6dggyxl
1567153147084161026,@idisa1,la
1567234735717367810,@axturcelta,domicilio’
1567142055851220993,@rosea40,para
1567194564821139456,@lisney2022,del
1567189393911291904,@tutitozilean,imagen
1567121890858176515,@traselvalle_obc,¡#felizmartes!
1567197876786270214,@cnrcomunes,las
1567207721283248128,@glorisnice,@cityqromx:
1567296049810735104,@ceciliavaldesv3,#ysitepropongo
1567117658213974016,@azul77551,lo
1567257585358708740,@viajabonito,nos
1567226618594168832,@118rocio29,@valeriacat06:
1567127221101289473,@cassiopeia_rock,la
1567181833829318656,@corderolara01,@josemvasquez
1567125610455076864,@flxalonso,libertad
1567115428685553667,@concadenas,"devolvió,"
1567177458083921920,@mirieliidiaz12,buen
1567143806813732865,@iyaracuy,lo
1567168490091454467,@invertixrd,#santodomingo
1567292382458314752,@missolympia,cuál
1567222493722583041,@cubanarise,nuevo
1567150560167469057,@franklopezcuba,un
1567461832142487552,@chuchoquehabla,compañías
1567137187925213184,@neizy_conde,día
1567194912227033093,@arnoldozambra11,de
